Model,PDB Mean F1,PDB Median F1,PDB Mean Crossed-pair F1,PDB Median Crossed-pair F1,CASP Mean F1,CASP Median F1,CASP Mean Crossed-pair F1,CASP Median Crossed-pair F1,PDB+CASP Mean F1,PDB+CASP Median F1,PDB+CASP Mean Crossed-pair F1,PDB+CASP Median Crossed-pair F1
RibonanzaNet,0.9167568689219209,0.9372549019607843,0.5657597725821912,0.7439024390243902,0.9364434807121677,0.9531641604010025,0.6982813910609801,0.8968660968660969,0.9258429974404963,0.9442724458204335,0.6437136658050082,0.8432432432432432
RibonanzaNet no pretraining,0.68611130653565,0.7078803317715203,0.04614745043316471,0.0,0.4967508262165962,0.4889526542324246,0.21305567754843116,0.15384615384615383,0.5987141617730096,0.6027777777777779,0.14629238670232458,0.08333333333333334
Vienna2,0.784847916028454,0.9212121212121211,0.0,0.0,0.7155322935180856,0.8207587382779198,0.0,0.0,0.7528560902544379,0.8843537414965987,0.0,0.0
CONTRAfold2,0.873498747316045,0.9171122994652405,0.0,0.0,0.8227263757296891,0.8950469820035036,0.0,0.0,0.8500653450454192,0.8977018195207266,0.0,0.0
EternaFold,0.8696635837313533,0.9212121212121211,0.0,0.0,0.8046793854975626,0.8844228964654364,0.0,0.0,0.8396708768542192,0.9066666666666665,0.0,0.0
IPknot,0.8585954076478552,0.9188913680100403,0.0918765288703518,0.0,0.8125384382125816,0.8863049095607236,0.1308189655172414,0.0,0.837338344831575,0.9060379918588874,0.1162155517746578,0.0
Knotty,0.8228500121851786,0.916083916083916,0.17285190498963812,0.0,0.6816532194571133,0.8735745988391943,0.2527416305194083,0.0,0.7576822616953025,0.8977644087938206,0.22078574030750023,0.0
Vienna2 (TK),0.8662466974570104,0.9212121212121211,0.0,0.0,0.7808882898435848,0.839235694277711,0.0,0.0,0.826850509327737,0.8870298119247699,0.0,0.0
Vienna2 (HK),0.8753280136686241,0.9212121212121211,0.00196078431372549,0.0,0.7901145477415511,0.839235694277711,0.0,0.0,0.8359987217022826,0.8870298119247699,0.0008403361344537815,0.0
EternaFold ThreshKnot,0.8791681192461539,0.9301302035576746,0.0,0.0,0.8267237915212649,0.9111111111111111,0.0,0.0,0.8549630449115896,0.9120015485869144,0.0,0.0
EternaFold (HK),0.8729369328307247,0.9267919580419581,0.0,0.0,0.8052687955813121,0.8592742678209615,0.0,0.0,0.8417054848694572,0.906269592476489,0.0,0.0
CONTRAfold2 ThreshKnot,0.8791779580220199,0.9212121212121211,0.0,0.0,0.8082465519616333,0.8577425373134329,0.0,0.0,0.8464403859941488,0.903448275862069,0.0,0.0
CONTRAfold2 (HK),0.8668171043465343,0.9157363104731525,0.0,0.0,0.7771767341710101,0.8369857747020377,0.0,0.0,0.8254446258039845,0.8989795918367347,0.0,0.0
Shapify-Hfold,0.8625459853122525,0.916083916083916,0.16604613877260177,0.0,0.843484853646471,0.8735745988391943,0.327946127946128,0.0,0.8537485399280457,0.8977644087938206,0.258560418300331,0.0
SPOT-RNA,0.8656822522547697,0.849624060150376,0.3910560715514276,0.29473684210526313,0.776219116944506,0.7882877093775436,0.5898505210676264,0.6651282051282051,0.8243915744192633,0.8262909122946126,0.5046528998463983,0.5931983805668015
alphafold3 single sequence,0.88886116643498,0.9362612612612613,0.4734327998066202,0.4536317327531939,0.8464875769614323,0.9362612612612613,0.568440555029959,0.8070955534531694,0.8693041251394966,0.9362612612612613,0.5277229456485281,0.6004788390013943
