Model,PDB Mean F1,PDB Median F1,PDB Mean Crossed-pair F1,PDB Median Crossed-pair F1,CASP Mean F1,CASP Median F1,CASP Mean Crossed-pair F1,CASP Median Crossed-pair F1,PDB+CASP Mean F1,PDB+CASP Median F1,PDB+CASP Mean Crossed-pair F1,PDB+CASP Median Crossed-pair F1
RibonanzaNet,0.9036044867675878,0.9411764705882353,0.5898295685231307,0.7439024390243902,0.9364434807121677,0.9531641604010025,0.6982813910609801,0.8968660968660969,0.9142549712901542,0.9473684210526316,0.6414732935411542,0.8432432432432432
RibonanzaNet no pretraining,0.6952716278191946,0.7200000000000001,0.059609260981133394,0.0,0.4967508262165962,0.4889526542324246,0.21305567754843116,0.15384615384615383,0.6308865029751086,0.64,0.1286601484364174,0.0
Vienna2,0.8058141179666711,0.9285714285714286,0.0,0.0,0.7155322935180856,0.8207587382779198,0.0,0.0,0.7765335262536164,0.8843537414965987,0.0,0.0
CONTRAfold2,0.85111849796394,0.9251336898395721,0.0,0.0,0.8227263757296891,0.8950469820035036,0.0,0.0,0.841910242104183,0.8990825688073395,0.0,0.0
EternaFold,0.8346737012736388,0.9090909090909091,0.0,0.0,0.8046793854975626,0.8844228964654364,0.0,0.0,0.8249458150759924,0.9066666666666665,0.0,0.0
IPknot,0.837712996591908,0.9090909090909091,0.06077846249143647,0.0,0.8125384382125816,0.8863049095607236,0.1308189655172414,0.0,0.8295482749553698,0.888888888888889,0.09261505477589325,0.0
Knotty,0.8037533759561194,0.923076923076923,0.11931237567250437,0.0,0.6816532194571133,0.8735745988391943,0.2527416305194083,0.0,0.764153325199685,0.9058229352346999,0.18602700309595635,0.0
Vienna2 (TK),0.8341913120246237,0.9090909090909091,0.0,0.0,0.7808882898435848,0.839235694277711,0.0,0.0,0.8169038453713137,0.8843537414965987,0.0,0.0
Vienna2 (HK),0.8378875854377819,0.9090909090909091,0.000980392156862745,0.0,0.7901145477415511,0.839235694277711,0.0,0.0,0.8223936272660314,0.8843537414965987,0.0005190311418685121,0.0
EternaFold ThreshKnot,0.8322375322670645,0.9128919860627177,0.0,0.0,0.8267237915212649,0.9111111111111111,0.0,0.0,0.8304492920251836,0.9111111111111111,0.0,0.0
EternaFold (HK),0.8297119839768711,0.9160839160839161,0.0,0.0,0.8052687955813121,0.8592742678209615,0.0,0.0,0.8217844634161491,0.9034482758620689,0.0,0.0
CONTRAfold2 ThreshKnot,0.8549597045567527,0.903448275862069,0.0022095959595959595,0.0,0.8082465519616333,0.8577425373134329,0.0,0.0,0.8398094929042815,0.9029850746268657,0.0011697860962566844,0.0
CONTRAfold2 (HK),0.8424472701689354,0.888888888888889,0.0,0.0,0.7771767341710101,0.8369857747020377,0.0,0.0,0.8212784476831217,0.888888888888889,0.0,0.0
Shapify-Hfold,0.8591838750754492,0.923076923076923,0.1089489953122268,0.0,0.843484853646471,0.8735745988391943,0.327946127946128,0.0,0.8540923005579428,0.9090909090909091,0.2120064694928862,0.0
SPOT-RNA,0.8594039033473093,0.8461538461538461,0.25344498826063694,0.0,0.776219116944506,0.7882877093775436,0.5898505210676264,0.6651282051282051,0.832425053703157,0.8333333333333333,0.39508942312673784,0.44155844155844154
alphafold3 single sequence,0.9078519932827587,0.956860230811504,0.6297681822937277,0.8918032786885246,0.8464875769614323,0.9362612612612613,0.568440555029959,0.8070955534531694,0.887950020421788,0.9438943894389439,0.6009081224048953,0.8857142857142858
